

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet24_1
optimizer          : adam
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet24_1_10

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [3, 3, 2, 3] 
C (# Channels)	: [64, 128, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.47000766 ;	Train Accuracy: 45.752 ;	Test Loss: 1.20911403 ; 	Test Accuracy: 57.150 ;
Epoch: 2 ;	Train Loss: 0.98604413 ;	Train Accuracy: 65.120 ;	Test Loss: 0.96571214 ; 	Test Accuracy: 67.340 ;
Epoch: 3 ;	Train Loss: 0.78783845 ;	Train Accuracy: 72.460 ;	Test Loss: 0.84548870 ; 	Test Accuracy: 71.020 ;
Epoch: 4 ;	Train Loss: 0.67739746 ;	Train Accuracy: 76.660 ;	Test Loss: 0.75277468 ; 	Test Accuracy: 74.540 ;
Epoch: 5 ;	Train Loss: 0.60662484 ;	Train Accuracy: 79.174 ;	Test Loss: 0.83988274 ; 	Test Accuracy: 72.600 ;
Epoch: 6 ;	Train Loss: 0.56133008 ;	Train Accuracy: 80.900 ;	Test Loss: 0.66474352 ; 	Test Accuracy: 77.560 ;
Epoch: 7 ;	Train Loss: 0.51921946 ;	Train Accuracy: 82.316 ;	Test Loss: 0.65741071 ; 	Test Accuracy: 78.410 ;
Epoch: 8 ;	Train Loss: 0.49439179 ;	Train Accuracy: 83.192 ;	Test Loss: 0.63781466 ; 	Test Accuracy: 78.530 ;
Epoch: 9 ;	Train Loss: 0.46367019 ;	Train Accuracy: 84.198 ;	Test Loss: 0.73378873 ; 	Test Accuracy: 77.180 ;
Epoch: 10 ;	Train Loss: 0.44240365 ;	Train Accuracy: 85.032 ;	Test Loss: 0.51643985 ; 	Test Accuracy: 82.810 ;
Epoch: 11 ;	Train Loss: 0.41960680 ;	Train Accuracy: 85.764 ;	Test Loss: 0.45740780 ; 	Test Accuracy: 85.280 ;
