

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet24_1
optimizer          : sgdn
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet24_1_4

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [3, 3, 2, 3] 
C (# Channels)	: [64, 128, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.62610490 ;	Train Accuracy: 39.464 ;	Test Loss: 1.30994304 ; 	Test Accuracy: 52.000 ;
Epoch: 2 ;	Train Loss: 1.17908867 ;	Train Accuracy: 57.272 ;	Test Loss: 1.07087224 ; 	Test Accuracy: 60.430 ;
Epoch: 3 ;	Train Loss: 0.97035686 ;	Train Accuracy: 65.228 ;	Test Loss: 0.91549570 ; 	Test Accuracy: 66.800 ;
Epoch: 4 ;	Train Loss: 0.83197932 ;	Train Accuracy: 70.496 ;	Test Loss: 0.91821537 ; 	Test Accuracy: 68.180 ;
Epoch: 5 ;	Train Loss: 0.73567490 ;	Train Accuracy: 74.100 ;	Test Loss: 0.80479524 ; 	Test Accuracy: 72.330 ;
Epoch: 6 ;	Train Loss: 0.66030621 ;	Train Accuracy: 76.902 ;	Test Loss: 0.69641753 ; 	Test Accuracy: 76.420 ;
Epoch: 7 ;	Train Loss: 0.59961797 ;	Train Accuracy: 79.208 ;	Test Loss: 0.63563225 ; 	Test Accuracy: 77.970 ;
Epoch: 8 ;	Train Loss: 0.54794603 ;	Train Accuracy: 80.910 ;	Test Loss: 0.64656021 ; 	Test Accuracy: 78.370 ;
Epoch: 9 ;	Train Loss: 0.51122997 ;	Train Accuracy: 82.228 ;	Test Loss: 0.62300902 ; 	Test Accuracy: 79.530 ;
Epoch: 10 ;	Train Loss: 0.47886495 ;	Train Accuracy: 83.406 ;	Test Loss: 0.52159767 ; 	Test Accuracy: 82.310 ;
Epoch: 11 ;	Train Loss: 0.44227911 ;	Train Accuracy: 84.694 ;	Test Loss: 0.57080263 ; 	Test Accuracy: 81.220 ;
Epoch: 12 ;	Train Loss: 0.42243692 ;	Train Accuracy: 85.344 ;	Test Loss: 0.58436553 ; 	Test Accuracy: 81.280 ;
Epoch: 13 ;	Train Loss: 0.39161777 ;	Train Accuracy: 86.456 ;	Test Loss: 0.51507617 ; 	Test Accuracy: 83.050 ;
Epoch: 14 ;	Train Loss: 0.37638942 ;	Train Accuracy: 86.888 ;	Test Loss: 0.48420239 ; 	Test Accuracy: 84.530 ;
Epoch: 15 ;	Train Loss: 0.35429969 ;	Train Accuracy: 87.566 ;	Test Loss: 0.44553639 ; 	Test Accuracy: 85.200 ;
Epoch: 16 ;	Train Loss: 0.33898814 ;	Train Accuracy: 88.244 ;	Test Loss: 0.51203860 ; 	Test Accuracy: 83.590 ;
Epoch: 17 ;	Train Loss: 0.31635920 ;	Train Accuracy: 89.028 ;	Test Loss: 0.47388326 ; 	Test Accuracy: 84.580 ;
Epoch: 18 ;	Train Loss: 0.30463171 ;	Train Accuracy: 89.528 ;	Test Loss: 0.42535919 ; 	Test Accuracy: 86.060 ;
Epoch: 19 ;	Train Loss: 0.29345105 ;	Train Accuracy: 89.784 ;	Test Loss: 0.47600191 ; 	Test Accuracy: 85.030 ;
Epoch: 20 ;	Train Loss: 0.27817487 ;	Train Accuracy: 90.358 ;	Test Loss: 0.44147323 ; 	Test Accuracy: 85.540 ;
Epoch: 21 ;	Train Loss: 0.26574870 ;	Train Accuracy: 90.702 ;	Test Loss: 0.49323763 ; 	Test Accuracy: 84.700 ;
Epoch: 22 ;	Train Loss: 0.25050940 ;	Train Accuracy: 91.268 ;	Test Loss: 0.43835068 ; 	Test Accuracy: 86.080 ;
Epoch: 23 ;	Train Loss: 0.24223871 ;	Train Accuracy: 91.470 ;	Test Loss: 0.46392278 ; 	Test Accuracy: 85.710 ;
Epoch: 24 ;	Train Loss: 0.23263416 ;	Train Accuracy: 91.874 ;	Test Loss: 0.41111481 ; 	Test Accuracy: 86.780 ;
Epoch: 25 ;	Train Loss: 0.22025770 ;	Train Accuracy: 92.250 ;	Test Loss: 0.43422891 ; 	Test Accuracy: 86.020 ;
