

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet24_1
optimizer          : adagrad
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet24_1_6

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [3, 3, 2, 3] 
C (# Channels)	: [64, 128, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.40497443 ;	Train Accuracy: 48.750 ;	Test Loss: 1.18246093 ; 	Test Accuracy: 57.410 ;
Epoch: 2 ;	Train Loss: 1.00247504 ;	Train Accuracy: 64.142 ;	Test Loss: 0.98919794 ; 	Test Accuracy: 65.010 ;
Epoch: 3 ;	Train Loss: 0.85484746 ;	Train Accuracy: 69.438 ;	Test Loss: 0.93391136 ; 	Test Accuracy: 66.850 ;
Epoch: 4 ;	Train Loss: 0.76180638 ;	Train Accuracy: 73.102 ;	Test Loss: 0.74421711 ; 	Test Accuracy: 74.270 ;
Epoch: 5 ;	Train Loss: 0.69293446 ;	Train Accuracy: 75.644 ;	Test Loss: 0.70599005 ; 	Test Accuracy: 75.420 ;
Epoch: 6 ;	Train Loss: 0.64416421 ;	Train Accuracy: 77.232 ;	Test Loss: 0.71935487 ; 	Test Accuracy: 75.500 ;
Epoch: 7 ;	Train Loss: 0.60196810 ;	Train Accuracy: 78.824 ;	Test Loss: 0.63032905 ; 	Test Accuracy: 77.850 ;
Epoch: 8 ;	Train Loss: 0.56748294 ;	Train Accuracy: 80.022 ;	Test Loss: 0.61558344 ; 	Test Accuracy: 78.970 ;
Epoch: 9 ;	Train Loss: 0.54163694 ;	Train Accuracy: 81.024 ;	Test Loss: 0.62536889 ; 	Test Accuracy: 78.290 ;
Epoch: 10 ;	Train Loss: 0.51612377 ;	Train Accuracy: 81.810 ;	Test Loss: 0.56747794 ; 	Test Accuracy: 80.120 ;
Epoch: 11 ;	Train Loss: 0.49949891 ;	Train Accuracy: 82.540 ;	Test Loss: 0.56922255 ; 	Test Accuracy: 79.750 ;
