

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet24_1
optimizer          : adadelta
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet24_1_8

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [3, 3, 2, 3] 
C (# Channels)	: [64, 128, 128, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 2.26716827 ;	Train Accuracy: 17.626 ;	Test Loss: 2.10837902 ; 	Test Accuracy: 22.040 ;
Epoch: 2 ;	Train Loss: 1.96127328 ;	Train Accuracy: 27.188 ;	Test Loss: 1.83746924 ; 	Test Accuracy: 32.150 ;
Epoch: 3 ;	Train Loss: 1.79830384 ;	Train Accuracy: 33.298 ;	Test Loss: 1.71605583 ; 	Test Accuracy: 36.310 ;
Epoch: 4 ;	Train Loss: 1.71694664 ;	Train Accuracy: 36.200 ;	Test Loss: 1.63636248 ; 	Test Accuracy: 38.610 ;
Epoch: 5 ;	Train Loss: 1.65748699 ;	Train Accuracy: 38.368 ;	Test Loss: 1.58194040 ; 	Test Accuracy: 41.000 ;
Epoch: 6 ;	Train Loss: 1.60674430 ;	Train Accuracy: 40.218 ;	Test Loss: 1.53530965 ; 	Test Accuracy: 42.920 ;
Epoch: 7 ;	Train Loss: 1.56034854 ;	Train Accuracy: 41.936 ;	Test Loss: 1.50080653 ; 	Test Accuracy: 44.610 ;
Epoch: 8 ;	Train Loss: 1.51996255 ;	Train Accuracy: 43.852 ;	Test Loss: 1.46144209 ; 	Test Accuracy: 45.610 ;
Epoch: 9 ;	Train Loss: 1.48425204 ;	Train Accuracy: 45.074 ;	Test Loss: 1.42483102 ; 	Test Accuracy: 47.400 ;
Epoch: 10 ;	Train Loss: 1.45384917 ;	Train Accuracy: 46.330 ;	Test Loss: 1.39063799 ; 	Test Accuracy: 48.830 ;
Epoch: 11 ;	Train Loss: 1.41949091 ;	Train Accuracy: 47.624 ;	Test Loss: 1.37113988 ; 	Test Accuracy: 49.740 ;
Epoch: 12 ;	Train Loss: 1.39314476 ;	Train Accuracy: 48.746 ;	Test Loss: 1.34285972 ; 	Test Accuracy: 50.810 ;
