

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet48_1
optimizer          : sgd
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet48_1_1

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [8, 5, 5, 5] 
C (# Channels)	: [64, 128, 128, 128] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.74273358 ;	Train Accuracy: 34.682 ;	Test Loss: 1.40061447 ; 	Test Accuracy: 48.090 ;
Epoch: 2 ;	Train Loss: 1.30053963 ;	Train Accuracy: 52.678 ;	Test Loss: 1.16874894 ; 	Test Accuracy: 58.120 ;
Epoch: 3 ;	Train Loss: 1.08408525 ;	Train Accuracy: 60.964 ;	Test Loss: 1.01078612 ; 	Test Accuracy: 64.230 ;
Epoch: 4 ;	Train Loss: 0.92273013 ;	Train Accuracy: 66.984 ;	Test Loss: 0.96642383 ; 	Test Accuracy: 66.660 ;
Epoch: 5 ;	Train Loss: 0.80408984 ;	Train Accuracy: 71.676 ;	Test Loss: 0.78258085 ; 	Test Accuracy: 72.600 ;
Epoch: 6 ;	Train Loss: 0.71953315 ;	Train Accuracy: 74.778 ;	Test Loss: 0.76750223 ; 	Test Accuracy: 72.820 ;
Epoch: 7 ;	Train Loss: 0.64463973 ;	Train Accuracy: 77.304 ;	Test Loss: 0.68520634 ; 	Test Accuracy: 76.480 ;
Epoch: 8 ;	Train Loss: 0.58681754 ;	Train Accuracy: 79.590 ;	Test Loss: 0.74432815 ; 	Test Accuracy: 74.750 ;
Epoch: 9 ;	Train Loss: 0.53401469 ;	Train Accuracy: 81.444 ;	Test Loss: 0.59392784 ; 	Test Accuracy: 79.650 ;
Epoch: 10 ;	Train Loss: 0.49488433 ;	Train Accuracy: 82.888 ;	Test Loss: 0.55967412 ; 	Test Accuracy: 81.070 ;
Epoch: 11 ;	Train Loss: 0.46146549 ;	Train Accuracy: 83.946 ;	Test Loss: 0.59854881 ; 	Test Accuracy: 80.110 ;
Epoch: 12 ;	Train Loss: 0.42626813 ;	Train Accuracy: 85.236 ;	Test Loss: 0.52630248 ; 	Test Accuracy: 82.520 ;
Epoch: 13 ;	Train Loss: 0.39871870 ;	Train Accuracy: 86.140 ;	Test Loss: 0.48845628 ; 	Test Accuracy: 83.170 ;
Epoch: 14 ;	Train Loss: 0.37555224 ;	Train Accuracy: 87.072 ;	Test Loss: 0.47091912 ; 	Test Accuracy: 84.340 ;
Epoch: 15 ;	Train Loss: 0.35182419 ;	Train Accuracy: 87.904 ;	Test Loss: 0.46030073 ; 	Test Accuracy: 84.560 ;
Epoch: 16 ;	Train Loss: 0.33216909 ;	Train Accuracy: 88.386 ;	Test Loss: 0.51018072 ; 	Test Accuracy: 83.410 ;
Epoch: 17 ;	Train Loss: 0.31819581 ;	Train Accuracy: 89.068 ;	Test Loss: 0.44490051 ; 	Test Accuracy: 85.720 ;
Epoch: 18 ;	Train Loss: 0.29623942 ;	Train Accuracy: 89.630 ;	Test Loss: 0.48821183 ; 	Test Accuracy: 84.110 ;
Epoch: 19 ;	Train Loss: 0.28499575 ;	Train Accuracy: 90.192 ;	Test Loss: 0.45205426 ; 	Test Accuracy: 85.780 ;
Epoch: 20 ;	Train Loss: 0.27332920 ;	Train Accuracy: 90.448 ;	Test Loss: 0.48068902 ; 	Test Accuracy: 85.040 ;
Epoch: 21 ;	Train Loss: 0.25405645 ;	Train Accuracy: 91.004 ;	Test Loss: 0.47639034 ; 	Test Accuracy: 85.530 ;
Epoch: 22 ;	Train Loss: 0.24372735 ;	Train Accuracy: 91.564 ;	Test Loss: 0.49320400 ; 	Test Accuracy: 84.960 ;
Epoch: 23 ;	Train Loss: 0.23182086 ;	Train Accuracy: 92.028 ;	Test Loss: 0.46209449 ; 	Test Accuracy: 85.490 ;
Epoch: 24 ;	Train Loss: 0.22475238 ;	Train Accuracy: 92.174 ;	Test Loss: 0.41698245 ; 	Test Accuracy: 86.890 ;
Epoch: 25 ;	Train Loss: 0.21701302 ;	Train Accuracy: 92.490 ;	Test Loss: 0.47997232 ; 	Test Accuracy: 85.450 ;
Epoch: 26 ;	Train Loss: 0.19793940 ;	Train Accuracy: 93.100 ;	Test Loss: 0.44336993 ; 	Test Accuracy: 86.750 ;
Epoch: 27 ;	Train Loss: 0.19337465 ;	Train Accuracy: 93.206 ;	Test Loss: 0.41398504 ; 	Test Accuracy: 87.600 ;
Epoch: 28 ;	Train Loss: 0.18288899 ;	Train Accuracy: 93.608 ;	Test Loss: 0.46078956 ; 	Test Accuracy: 86.480 ;
Epoch: 29 ;	Train Loss: 0.17314495 ;	Train Accuracy: 93.842 ;	Test Loss: 0.45187696 ; 	Test Accuracy: 86.990 ;
Epoch: 30 ;	Train Loss: 0.16646981 ;	Train Accuracy: 94.262 ;	Test Loss: 0.50853557 ; 	Test Accuracy: 85.310 ;
Epoch: 31 ;	Train Loss: 0.16109542 ;	Train Accuracy: 94.368 ;	Test Loss: 0.45863119 ; 	Test Accuracy: 86.860 ;
Epoch: 32 ;	Train Loss: 0.15689411 ;	Train Accuracy: 94.454 ;	Test Loss: 0.44912697 ; 	Test Accuracy: 87.100 ;
Epoch: 33 ;	Train Loss: 0.14493992 ;	Train Accuracy: 94.940 ;	Test Loss: 0.53054194 ; 	Test Accuracy: 84.690 ;
Epoch: 34 ;	Train Loss: 0.14164318 ;	Train Accuracy: 95.042 ;	Test Loss: 0.40509541 ; 	Test Accuracy: 88.330 ;
Epoch: 35 ;	Train Loss: 0.13017255 ;	Train Accuracy: 95.476 ;	Test Loss: 0.43501927 ; 	Test Accuracy: 87.880 ;
Epoch: 36 ;	Train Loss: 0.12961512 ;	Train Accuracy: 95.408 ;	Test Loss: 0.43978380 ; 	Test Accuracy: 87.890 ;
