

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
val_batch_size     : 256
test_batch_size    : 256
epochs             : 60
test_transform     : TestTransform_1
train_transform    : TrainTransform_1
model              : ResNet10_2
optimizer          : adadelta
learning_rate      : 0.01
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
validate           : True
save               : False
print_summary      : False
no_training        : False
save_plot          : False
plot_transforms    : False
output_file_prefix : ResNet

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 1, 1] 
C (# Channels)	: [64, 128, 256, 512] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4

Training...


Epoch: 1 ;	Train Loss: 1.80100489 ;	Train Accuracy: 33.964 ;	Val Loss: 1.57379249 ; 	Val Accuracy: 41.060 ;
Epoch: 2 ;	Train Loss: 1.48335654 ;	Train Accuracy: 45.980 ;	Val Loss: 1.43600857 ; 	Val Accuracy: 47.840 ;
Epoch: 3 ;	Train Loss: 1.33880206 ;	Train Accuracy: 51.531 ;	Val Loss: 1.41618786 ; 	Val Accuracy: 49.600 ;
Epoch: 4 ;	Train Loss: 1.24347025 ;	Train Accuracy: 55.422 ;	Val Loss: 1.43003184 ; 	Val Accuracy: 49.140 ;
Epoch: 5 ;	Train Loss: 1.16675132 ;	Train Accuracy: 58.122 ;	Val Loss: 1.17893112 ; 	Val Accuracy: 57.340 ;
Epoch: 6 ;	Train Loss: 1.10722607 ;	Train Accuracy: 60.504 ;	Val Loss: 1.16219817 ; 	Val Accuracy: 59.820 ;
Epoch: 7 ;	Train Loss: 1.05188664 ;	Train Accuracy: 62.378 ;	Val Loss: 1.10232139 ; 	Val Accuracy: 60.340 ;
Epoch: 8 ;	Train Loss: 1.00272515 ;	Train Accuracy: 64.511 ;	Val Loss: 1.07699960 ; 	Val Accuracy: 61.740 ;
Epoch: 9 ;	Train Loss: 0.96304134 ;	Train Accuracy: 65.869 ;	Val Loss: 1.15109197 ; 	Val Accuracy: 59.720 ;
Epoch: 10 ;	Train Loss: 0.92375473 ;	Train Accuracy: 67.558 ;	Val Loss: 1.03191897 ; 	Val Accuracy: 63.420 ;
Epoch: 11 ;	Train Loss: 0.89342164 ;	Train Accuracy: 68.507 ;	Val Loss: 0.94381806 ; 	Val Accuracy: 67.300 ;
Epoch: 12 ;	Train Loss: 0.86090217 ;	Train Accuracy: 69.484 ;	Val Loss: 0.95301463 ; 	Val Accuracy: 66.780 ;
Epoch: 13 ;	Train Loss: 0.83432576 ;	Train Accuracy: 70.673 ;	Val Loss: 0.86437927 ; 	Val Accuracy: 70.060 ;
Epoch: 14 ;	Train Loss: 0.80519847 ;	Train Accuracy: 71.704 ;	Val Loss: 0.88892977 ; 	Val Accuracy: 69.140 ;
Epoch: 15 ;	Train Loss: 0.78107219 ;	Train Accuracy: 72.649 ;	Val Loss: 0.90325034 ; 	Val Accuracy: 68.820 ;
Epoch: 16 ;	Train Loss: 0.75609254 ;	Train Accuracy: 73.453 ;	Val Loss: 0.87709417 ; 	Val Accuracy: 69.840 ;
Epoch: 17 ;	Train Loss: 0.73260840 ;	Train Accuracy: 74.273 ;	Val Loss: 0.85226591 ; 	Val Accuracy: 70.100 ;
Epoch: 18 ;	Train Loss: 0.71107985 ;	Train Accuracy: 75.131 ;	Val Loss: 0.80016695 ; 	Val Accuracy: 72.360 ;
