

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ReshNet
optimizer          : adadelta
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : zReshNet_testll1_2

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [10, 8, 10, 14] 
C (# Channels)	: [16, 32, 64, 128] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.89296675 ;	Train Accuracy: 30.884 ;	Test Loss: 1.66863622 ; 	Test Accuracy: 38.440 ;
Epoch: 2 ;	Train Loss: 1.44161108 ;	Train Accuracy: 47.430 ;	Test Loss: 1.46139581 ; 	Test Accuracy: 49.240 ;
Epoch: 3 ;	Train Loss: 1.20166362 ;	Train Accuracy: 56.858 ;	Test Loss: 1.22242400 ; 	Test Accuracy: 56.970 ;
Epoch: 4 ;	Train Loss: 1.03506434 ;	Train Accuracy: 63.108 ;	Test Loss: 1.05152929 ; 	Test Accuracy: 62.790 ;
Epoch: 5 ;	Train Loss: 0.91417268 ;	Train Accuracy: 67.806 ;	Test Loss: 1.00455020 ; 	Test Accuracy: 66.380 ;
Epoch: 6 ;	Train Loss: 0.81748080 ;	Train Accuracy: 71.440 ;	Test Loss: 0.84041032 ; 	Test Accuracy: 70.820 ;
Epoch: 7 ;	Train Loss: 0.74548063 ;	Train Accuracy: 73.704 ;	Test Loss: 0.86344896 ; 	Test Accuracy: 70.740 ;
Epoch: 8 ;	Train Loss: 0.68744864 ;	Train Accuracy: 75.960 ;	Test Loss: 0.83165649 ; 	Test Accuracy: 72.970 ;
Epoch: 9 ;	Train Loss: 0.63216226 ;	Train Accuracy: 77.958 ;	Test Loss: 0.88265645 ; 	Test Accuracy: 71.290 ;
Epoch: 10 ;	Train Loss: 0.59050445 ;	Train Accuracy: 79.528 ;	Test Loss: 0.71846090 ; 	Test Accuracy: 76.140 ;
Epoch: 11 ;	Train Loss: 0.56034169 ;	Train Accuracy: 80.512 ;	Test Loss: 0.68843133 ; 	Test Accuracy: 76.880 ;
Epoch: 12 ;	Train Loss: 0.53457299 ;	Train Accuracy: 81.462 ;	Test Loss: 0.64159650 ; 	Test Accuracy: 78.660 ;
Epoch: 13 ;	Train Loss: 0.49891506 ;	Train Accuracy: 82.640 ;	Test Loss: 0.64470066 ; 	Test Accuracy: 78.490 ;
Epoch: 14 ;	Train Loss: 0.47823319 ;	Train Accuracy: 83.390 ;	Test Loss: 0.75964158 ; 	Test Accuracy: 75.690 ;
Epoch: 15 ;	Train Loss: 0.45902522 ;	Train Accuracy: 84.126 ;	Test Loss: 0.61627524 ; 	Test Accuracy: 79.540 ;
Epoch: 16 ;	Train Loss: 0.43869230 ;	Train Accuracy: 84.796 ;	Test Loss: 0.61269570 ; 	Test Accuracy: 80.140 ;
Epoch: 17 ;	Train Loss: 0.42248312 ;	Train Accuracy: 85.366 ;	Test Loss: 0.71250201 ; 	Test Accuracy: 77.570 ;
Epoch: 18 ;	Train Loss: 0.40682044 ;	Train Accuracy: 85.866 ;	Test Loss: 0.59074262 ; 	Test Accuracy: 81.010 ;
Epoch: 19 ;	Train Loss: 0.39206811 ;	Train Accuracy: 86.348 ;	Test Loss: 0.63438277 ; 	Test Accuracy: 79.310 ;
